case,apply_gate,alpha,beta,beta_label,sigma_red_mean,tau_red_mean,phi_red_mean,cache_key
ASK14 + GRU residual sin gate,False,,,sin gate,-1.134151374696069,4.297701595331807,-2.536670333248796,ask14_corrected__gate0
ASK14 + GRU residual con gate,True,6.5,3.7184,P110,-1.7031158309933512,1.2791172259890977,-2.5085439638374463,ask14_corrected__gate1__alpha_6.5000__beta_3.7184
ASK14 + GRU residual con gate,True,7.0,3.7184,P110,-1.703433581303854,1.3010056193372932,-2.511378294655667,ask14_corrected__gate1__alpha_7.0000__beta_3.7184
ASK14 + GRU residual con gate,True,6.0,3.7184,P110,-1.7043643470085337,1.2527978670704945,-2.506386015035741,ask14_corrected__gate1__alpha_6.0000__beta_3.7184
ASK14 + GRU residual con gate,True,7.5,3.7184,P110,-1.7047852345960857,1.3195982185490047,-2.514605167608235,ask14_corrected__gate1__alpha_7.5000__beta_3.7184
ASK14 + GRU residual con gate,True,8.0,3.7184,P110,-1.7068050929362626,1.335675164426773,-2.518031537930544,ask14_corrected__gate1__alpha_8.0000__beta_3.7184
ASK14 + GRU residual con gate,True,5.5,3.7184,P110,-1.7079815428136689,1.220306189201677,-2.5053323898446256,ask14_corrected__gate1__alpha_5.5000__beta_3.7184
ASK14 + GRU residual con gate,True,5.0,3.7184,P110,-1.7151902447475302,1.1785457794461882,-2.5059524956914263,ask14_corrected__gate1__alpha_5.0000__beta_3.7184
ASK14 + GRU residual con gate,True,4.5,3.7184,P110,-1.7279927044618837,1.1242882877906604,-2.509641747946102,ask14_corrected__gate1__alpha_4.5000__beta_3.7184
ASK14 + GRU residual con gate,True,4.0,3.7184,P110,-1.7498575937922551,1.047473904896962,-2.517779940306106,ask14_corrected__gate1__alpha_4.0000__beta_3.7184
ASK14 + GRU residual con gate,True,3.5,3.7184,P110,-1.7863250346165558,0.9358265553717477,-2.5337049070565647,ask14_corrected__gate1__alpha_3.5000__beta_3.7184
ASK14 + GRU residual con gate,True,3.0,3.7184,P110,-1.8472146620296186,0.7677854909791435,-2.563631077430161,ask14_corrected__gate1__alpha_3.0000__beta_3.7184
ASK14 + GRU residual con gate,True,2.5,3.7184,P110,-1.9511626169323726,0.5045375444233227,-2.620471212333843,ask14_corrected__gate1__alpha_2.5000__beta_3.7184
ASK14 + GRU residual con gate,True,5.5,3.5494,P105,-2.095142186588444,-0.7220845878341422,-2.5100304062094443,ask14_corrected__gate1__alpha_5.5000__beta_3.5494
